"scenario","effect_size","group_mean_offsets","distribution","panel","skew","excess_kurtosis","n_per_group","groups","fisher_power","fisher_mc_se","welch_power","welch_mc_se","mean_power","mean_mc_se","rank_power","rank_mc_se","sw_power","sw_mc_se","gate_power","gate_mc_se","sw_route_welch_probability","sw_route_welch_mc_se","sw_route_rank_probability","sw_route_rank_mc_se","route_rank_probability","route_rank_mc_se","route_fisher_probability","route_fisher_mc_se","route_welch_probability","route_welch_mc_se","mean_route_fisher_probability","mean_route_fisher_mc_se","mean_route_welch_probability","mean_route_welch_mc_se","levene_reject_probability","levene_reject_mc_se","skew_label","n_label"
"four groups with moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","normal",1,0,0,10,4,0.25702,0.00195428104222499,0.23944,0.00190844694136358,0.26036,0.00196251201474029,0.22968,0.0018811012604323,0.24262,0.00191705782698384,0.2626,0.00196794938959314,0.95104,0.000965017288964296,0.04896,0.000965017288964296,0.04896,0.000965017288964296,0.8863,0.00141966411520472,0.06474,0.00110044293264122,0.93272,0.00112029818887652,0.06728,0.00112029818887652,0.06728,0.00112029818887652,"Normal distribution
skew = 0; excess kurtosis = 0","n = 10"
"four groups with moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","F.P.",2,0,6,10,4,0.28708,0.0020231909133841,0.2971,0.00204368094378746,0.2949,0.00203928413910372,0.35652,0.00214202469453552,0.34372,0.00212403654205854,0.35712,0.00214282666401181,0.55692,0.0022215315149689,0.44308,0.0022215315149689,0.44308,0.0022215315149689,0.51138,0.00223548874119285,0.04554,0.000932374478415191,0.9157,0.00124252573413994,0.0843,0.00124252573413994,0.0843,0.00124252573413994,"F.P.
skew = 0
excess kurtosis = 6","n = 10"
"four groups with moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","F.P.",3,0.5,1,10,4,0.2652,0.0019741781074665,0.25192,0.00194142377445008,0.26856,0.00198209750718778,0.25694,0.0019540820678774,0.26274,0.00196828703394601,0.28032,0.0020086846322905,0.82672,0.00169265496543153,0.17328,0.00169265496543153,0.17328,0.00169265496543153,0.76026,0.00190926547342165,0.06646,0.00111393957107197,0.92336,0.00118967483288502,0.07664,0.00118967483288502,0.07664,0.00118967483288502,"F.P.
skew = 0.5
excess kurtosis = 1","n = 10"
"four groups with moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","F.P.",4,1,1.6,10,4,0.26912,0.00198340326509765,0.26322,0.00196944272117774,0.27258,0.00199138215117039,0.2778,0.00200313334553644,0.28718,0.00202340133241036,0.29996,0.00204931207189144,0.56368,0.00221785868621064,0.43632,0.00221785868621064,0.43632,0.00221785868621064,0.49206,0.00223578602017277,0.07162,0.00115317453665956,0.89202,0.00138795042850961,0.10798,0.00138795042850961,0.10798,0.00138795042850961,"F.P.
skew = 1
excess kurtosis = 1.6","n = 10"
"four groups with moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","F.P.",5,2,6.6,10,4,0.29516,0.0020398067280995,0.31548,0.00207823179457923,0.30332,0.00205580630215981,0.42858,0.00221313887318442,0.43012,0.00221412188282398,0.4332,0.00221602238255844,0.12506,0.00147932414568275,0.87494,0.00147932414568275,0.87494,0.00147932414568275,0.08108,0.00122070498974978,0.04398,0.000917014281241028,0.79184,0.00181565092680284,0.20816,0.00181565092680284,0.20816,0.00181565092680284,"F.P.
skew = 2
excess kurtosis = 6.6","n = 10"
"four groups with moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","normal",1,0,0,20,4,0.51512,0.00223504534898064,0.498,0.00223605008888441,0.51674,0.00223481441019159,0.48604,0.0022351962705767,0.50034,0.00223606746052081,0.51854,0.00223453023429982,0.95038,0.000971162762877572,0.04962,0.000971162762877572,0.04962,0.000971162762877572,0.89494,0.00137129425288667,0.05544,0.00102339050611191,0.94184,0.0010466844261763,0.05816,0.0010466844261763,0.05816,0.0010466844261763,"Normal distribution
skew = 0; excess kurtosis = 0","n = 20"
"four groups with moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","F.P.",2,0,6,20,4,0.5344,0.00223076955331563,0.5555,0.00222224998593768,0.53976,0.0022289869555473,0.69296,0.00206284482402337,0.68282,0.00208123447790008,0.68438,0.00207848028905737,0.25682,0.00195378344552307,0.74318,0.00195378344552307,0.74318,0.00195378344552307,0.2403,0.00191078994135933,0.01652,0.000570036658470313,0.93198,0.00112599537832089,0.06802,0.00112599537832089,0.06802,0.00112599537832089,"F.P.
skew = 0
excess kurtosis = 6","n = 20"
"four groups with moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","F.P.",3,0.5,1,20,4,0.51652,0.00223484715182045,0.5065,0.00223587902177197,0.51858,0.00223452358949285,0.52852,0.00223242742144062,0.53048,0.00223190936016676,0.54216,0.00222810473003403,0.67886,0.00208810488433891,0.32114,0.00208810488433891,0.32114,0.00208810488433891,0.63198,0.00215676275746778,0.04688,0.00094532815043243,0.93374,0.00111238134108767,0.06626,0.00111238134108767,0.06626,0.00111238134108767,"F.P.
skew = 0.5
excess kurtosis = 1","n = 20"
"four groups with moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","F.P.",4,1,1.6,20,4,0.51704,0.00223476906368421,0.50924,0.00223568612466062,0.51928,0.00223440498388273,0.56494,0.00221712785558253,0.56936,0.00221444887229306,0.57256,0.00221239709998002,0.18836,0.0017486023584566,0.81164,0.0017486023584566,0.81164,0.0017486023584566,0.16244,0.00164956507237514,0.02592,0.000710607537252456,0.89736,0.00135724007014235,0.10264,0.00135724007014235,0.10264,0.00135724007014235,"F.P.
skew = 1
excess kurtosis = 1.6","n = 20"
"four groups with moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","F.P.",5,2,6.6,20,4,0.5432,0.00222770626429967,0.55662,0.0022216848363348,0.55074,0.00222452445434974,0.78384,0.00184084140761772,0.78388,0.00184071804250407,0.7839,0.00184065635032724,0.00176,0.000187451455049034,0.99824,0.000187451455049033,0.99824,0.000187451455049033,0.00088,0.000132606606170281,0.00088,0.000132606606170281,0.79844,0.00179406558631506,0.20156,0.00179406558631506,0.20156,0.00179406558631506,"F.P.
skew = 2
excess kurtosis = 6.6","n = 20"
"four groups with moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","normal",1,0,0,50,4,0.92448,0.00118166602388323,0.92048,0.00120993032526671,0.92412,0.00118424850094902,0.9097,0.00128176370677282,0.92024,0.00121159681742732,0.9239,0.00118582283668346,0.9495,0.000979282900902492,0.0505,0.000979282900902492,0.0505,0.000979282900902492,0.89922,0.00134627925483534,0.05028,0.00097726067760859,0.94716,0.0010004792291697,0.05284,0.0010004792291697,0.05284,0.0010004792291697,"Normal distribution
skew = 0; excess kurtosis = 0","n = 50"
"four groups with moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","F.P.",2,0,6,50,4,0.91946,0.00121699061952013,0.92278,0.00119379287650748,0.92022,0.00121173554540584,0.9866,0.000514206962224355,0.98636,0.000518728260267358,0.9863,0.000519852094349923,0.0149,0.000541811590869003,0.9851,0.000541811590869004,0.9851,0.000541811590869004,0.01404,0.000526172564849214,0.00086,0.000131092364384811,0.94402,0.00102806847631858,0.05598,0.00102806847631858,0.05598,0.00102806847631858,"F.P.
skew = 0
excess kurtosis = 6","n = 50"
"four groups with moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","F.P.",3,0.5,1,50,4,0.91914,0.00121919367124342,0.91658,0.00123661718894733,0.91924,0.00121850582600167,0.93332,0.00111565028212249,0.93294,0.00111859694617856,0.93382,0.00111175723609069,0.35876,0.00214500005780886,0.64124,0.00214500005780886,0.64124,0.00214500005780886,0.33408,0.0021093627170309,0.02468,0.000693842887114943,0.93708,0.00108591964343592,0.06292,0.00108591964343592,0.06292,0.00108591964343592,"F.P.
skew = 0.5
excess kurtosis = 1","n = 50"
